TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/06,United Kingdom,Annual rate of change,All-items HICP,1.7,
1997/06,North Macedonia,Annual rate of change,All-items HICP,:,
1997/06,Serbia,Annual rate of change,All-items HICP,:,
1997/06,Turkey,Annual rate of change,All-items HICP,76.5,d
1997/06,United States,Annual rate of change,All-items HICP,:,
1997/07,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.7,
1997/07,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/07,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/07,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.5,
1997/07,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.6,
1997/07,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.6,
1997/07,Belgium,Annual rate of change,All-items HICP,1.9,
1997/07,Bulgaria,Annual rate of change,All-items HICP,:,
1997/07,Czechia,Annual rate of change,All-items HICP,8.8,
1997/07,Denmark,Annual rate of change,All-items HICP,2,
1997/07,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.6,
1997/07,Estonia,Annual rate of change,All-items HICP,8.7,
1997/07,Ireland,Annual rate of change,All-items HICP,1.6,
1997/07,Greece,Annual rate of change,All-items HICP,5.3,
1997/07,Spain,Annual rate of change,All-items HICP,1.5,
1997/07,France,Annual rate of change,All-items HICP,1.1,
1997/07,Croatia,Annual rate of change,All-items HICP,:,
1997/07,Italy,Annual rate of change,All-items HICP,1.7,
1997/07,Cyprus,Annual rate of change,All-items HICP,3.7,
1997/07,Latvia,Annual rate of change,All-items HICP,6.9,
1997/07,Lithuania,Annual rate of change,All-items HICP,10.1,
1997/07,Luxembourg,Annual rate of change,All-items HICP,1.3,
1997/07,Hungary,Annual rate of change,All-items HICP,18.2,d
1997/07,Malta,Annual rate of change,All-items HICP,4.1,
1997/07,Netherlands,Annual rate of change,All-items HICP,1.9,
1997/07,Austria,Annual rate of change,All-items HICP,0.9,
1997/07,Poland,Annual rate of change,All-items HICP,15.1,d
1997/07,Portugal,Annual rate of change,All-items HICP,1.4,
1997/07,Romania,Annual rate of change,All-items HICP,159.8,
1997/07,Slovenia,Annual rate of change,All-items HICP,8.2,
1997/07,Slovakia,Annual rate of change,All-items HICP,5.9,
1997/07,Finland,Annual rate of change,All-items HICP,1.1,
1997/07,Sweden,Annual rate of change,All-items HICP,1.5,
1997/07,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.7,
1997/07,Iceland,Annual rate of change,All-items HICP,1.6,
1997/07,Norway,Annual rate of change,All-items HICP,2,
1997/07,Switzerland,Annual rate of change,All-items HICP,:,
1997/07,United Kingdom,Annual rate of change,All-items HICP,2,
1997/07,North Macedonia,Annual rate of change,All-items HICP,:,
1997/07,Serbia,Annual rate of change,All-items HICP,:,
1997/07,Turkey,Annual rate of change,All-items HICP,85.2,d
1997/07,United States,Annual rate of change,All-items HICP,:,
1997/08,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.8,
1997/08,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/08,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/08,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.7,
1997/08,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.8,
1997/08,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.8,
1997/08,Belgium,Annual rate of change,All-items HICP,1.7,
1997/08,Bulgaria,Annual rate of change,All-items HICP,:,
1997/08,Czechia,Annual rate of change,All-items HICP,9.4,
1997/08,Denmark,Annual rate of change,All-items HICP,2.1,
1997/08,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.7,
1997/08,Estonia,Annual rate of change,All-items HICP,10.2,
1997/08,Ireland,Annual rate of change,All-items HICP,0.7,
1997/08,Greece,Annual rate of change,All-items HICP,5.6,
1997/08,Spain,Annual rate of change,All-items HICP,1.7,
1997/08,France,Annual rate of change,All-items HICP,1.6,
1997/08,Croatia,Annual rate of change,All-items HICP,:,
1997/08,Italy,Annual rate of change,All-items HICP,1.6,
1997/08,Cyprus,Annual rate of change,All-items HICP,3.3,
1997/08,Latvia,Annual rate of change,All-items HICP,8,
1997/08,Lithuania,Annual rate of change,All-items HICP,10.3,
1997/08,Luxembourg,Annual rate of change,All-items HICP,1.4,
1997/08,Hungary,Annual rate of change,All-items HICP,18.1,d
1997/08,Malta,Annual rate of change,All-items HICP,3.9,
1997/08,Netherlands,Annual rate of change,All-items HICP,2.5,
1997/08,Austria,Annual rate of change,All-items HICP,1.3,
1997/08,Poland,Annual rate of change,All-items HICP,15.1,d
1997/08,Portugal,Annual rate of change,All-items HICP,1.6,
1997/08,Romania,Annual rate of change,All-items HICP,159.4,
1997/08,Slovenia,Annual rate of change,All-items HICP,8.9,
1997/08,Slovakia,Annual rate of change,All-items HICP,6.4,
1997/08,Finland,Annual rate of change,All-items HICP,1.7,
1997/08,Sweden,Annual rate of change,All-items HICP,2.1,
1997/08,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.8,
1997/08,Iceland,Annual rate of change,All-items HICP,1.5,
1997/08,Norway,Annual rate of change,All-items HICP,2.1,
1997/08,Switzerland,Annual rate of change,All-items HICP,:,
1997/08,United Kingdom,Annual rate of change,All-items HICP,2,
1997/08,North Macedonia,Annual rate of change,All-items HICP,:,
1997/08,Serbia,Annual rate of change,All-items HICP,:,
1997/08,Turkey,Annual rate of change,All-items HICP,86.5,d
1997/08,United States,Annual rate of change,All-items HICP,:,
1997/09,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.7,
1997/09,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/09,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/09,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.6,
1997/09,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.7,
1997/09,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.7,
1997/09,Belgium,Annual rate of change,All-items HICP,1.6,
1997/09,Bulgaria,Annual rate of change,All-items HICP,:,
1997/09,Czechia,Annual rate of change,All-items HICP,9.6,
1997/09,Denmark,Annual rate of change,All-items HICP,1.8,
1997/09,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.4,
